;ID;Education;Income;Kidhome;Teenhome;MntGoldProds;NumDealsPurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Rlt_MntWines;Rlt_MntFruits;Rlt_MntMeatProducts;Rlt_MntFishProducts;Rlt_MntSweetProducts;TotalProducts;Rlt_NumWebPurchases;Rlt_NumCatalogPurchases;Rlt_NumStorePurchases;TotalPurchases;MeanPurchase;AcpCamps;Marital_Status_Divorced;Marital_Status_Married;Marital_Status_Single;Marital_Status_Together;Marital_Status_Widow;InterestGroup;ConsumptionLevel
33;10738;4;49389,0;1;1;3;1;7;0;0;0;0;0;0;0;62;64,52;0,0;30,65;3,23;1,61;62;40,0;0,0;60,0;5;10,5;0;0;0;1;0;0;2;2
34;4339;5;67353,0;0;1;35;5;2;0;0;0;0;0;0;0;43;79,95;1,94;17,2;0,0;0,91;878;21,74;26,09;52,17;23;36,62;0;0;1;0;0;0;2;1
35;10755;2;23718,0;1;0;36;3;7;0;0;0;0;0;0;0;37;13,33;6,67;31,11;33,33;15,56;45;50,0;16,67;33,33;6;6,57;0;0;1;0;0;0;3;2
36;8595;3;42429,0;0;1;4;2;5;0;0;0;0;0;0;0;41;87,3;0,0;9,52;3,17;0,0;63;20,0;20,0;60,0;5;10,67;0;0;0;0;0;1;2;2
37;2968;5;48948,0;0;0;42;2;6;1;0;0;0;0;0;1;70;50,81;0,93;23,95;18,6;5,7;860;31,82;45,45;22,73;22;37,43;1;1;0;0;0;0;1;1
38;8601;3;80011,0;0;1;102;2;4;0;0;0;0;0;0;0;33;32,56;5,88;41,45;6,34;13,77;1293;42,11;31,58;26,32;19;64,7;0;0;1;0;0;0;1;1
39;503;4;20559,0;1;0;7;2;8;0;0;0;0;0;0;0;28;28,26;2,17;63,04;6,52;0,0;46;40,0;0,0;60,0;5;7,83;0;0;1;0;0;0;1;2
40;8430;3;21994,0;0;1;3;1;5;0;0;0;0;0;0;0;55;47,37;0,0;31,58;15,79;5,26;19;0,0;0,0;100,0;3;5,0;0;0;0;0;1;0;1;2
41;2139;4;7500,0;1;0;12;3;5;0;0;0;0;0;0;0;38;15,79;5,26;52,63;15,79;10,53;19;40,0;0,0;60,0;5;3,33;0;0;1;0;0;0;1;2
42;1371;3;79941,0;0;0;174;1;1;0;0;0;0;0;0;0;38;15,19;20,25;32,84;28,02;3,7;810;13,33;26,67;60,0;15;50,69;0;0;0;1;0;0;3;1
43;9909;2;7500,0;0;0;50;3;9;0;0;0;0;0;0;1;16;4,17;25,0;19,44;20,83;30,56;72;42,86;14,29;42,86;7;9,12;0;0;1;0;0;0;5;2
44;7286;3;41728,0;1;0;13;1;10;0;0;0;0;0;0;0;45;30,95;14,29;35,71;7,14;11,9;42;50,0;0,0;50,0;4;8,6;0;0;0;0;1;0;1;2
45;6566;5;72550,0;1;1;38;9;8;0;0;0;0;0;0;0;58;64,48;3,9;24,75;3,9;2,97;1281;26,32;10,53;63,16;19;64,1;0;0;1;0;0;0;2;1
46;8614;3;65486,0;0;1;14;1;2;0;0;0;0;0;0;0;57;49,7;3,85;25,35;7,51;13,59;493;25,0;12,5;62,5;16;29,06;0;0;0;0;0;1;1;2
47;4114;4;79143,0;0;0;32;1;3;0;0;0;0;0;0;0;48;39,13;2,23;46,96;1,63;10,05;1661;21,43;32,14;46,43;28;57,31;0;0;1;0;0;0;1;1
48;1331;3;35790,0;1;0;3;2;7;0;0;0;0;0;0;0;36;17,39;8,7;28,99;43,48;1,45;69;40,0;0,0;60,0;5;11,67;0;0;0;1;0;0;3;2
49;2225;3;82582,0;0;0;241;1;1;1;0;0;1;0;0;1;37;37,06;8,72;39,97;11,34;2,91;1376;20,0;45,0;35,0;20;65,57;2;1;0;0;0;0;4;1
50;9381;3;66373,0;1;1;109;7;3;0;0;0;0;0;0;0;35;66,0;1,81;24,95;2,41;4,83;497;25,0;12,5;62,5;16;29,29;0;0;1;0;0;0;4;2
51;6260;4;82384,0;0;0;190;1;1;0;0;1;0;0;0;1;57;55,69;2,89;24,45;10,19;6,79;1767;11,54;38,46;50,0;26;65,48;1;0;0;0;1;0;4;1
52;10383;3;70287,0;0;0;40;1;3;0;0;0;0;0;0;1;47;28,02;3,32;45,77;11,49;11,4;1053;25,0;25,0;50,0;20;50,19;0;1;0;0;0;0;1;1
53;7437;3;27938,0;1;0;5;1;3;0;0;0;0;0;0;0;26;54,17;0,0;33,33;8,33;4,17;24;20,0;0,0;80,0;5;4,17;0;0;0;1;0;0;1;2
54;8375;5;55954,0;0;1;43;3;7;0;0;0;0;0;0;0;46;94,11;0,0;5,89;0,0;0,0;475;50,0;12,5;37,5;16;28,0;0;0;1;0;0;0;2;2
55;6853;4;75777,0;0;0;80;1;1;0;1;1;0;0;0;1;31;52,43;1,91;39,62;5,08;0,96;1358;15,0;30,0;55,0;20;64,71;2;0;0;1;0;0;1;1
56;3076;3;66653,0;1;1;6;4;3;0;0;0;0;0;0;0;37;74,59;2,97;16,83;2,64;2,97;606;22,22;11,11;66,67;18;31,95;0;0;0;0;1;0;2;1
57;1012;3;61823,0;0;1;169;4;7;0;0;0;0;0;0;0;61;73,15;0,98;18,74;5,17;1,96;715;40,0;10,0;50,0;20;34,1;0;0;0;1;0;0;4;1
58;6518;5;67680,0;0;1;6;1;5;0;0;0;0;0;0;0;62;91,0;0,0;8,0;0,0;1,0;600;38,89;16,67;44,44;18;31,63;0;0;0;0;0;1;2;1
59;4137;3;70666,0;0;0;30;1;4;0;0;0;0;0;0;0;65;38,05;3,82;35,09;11,38;11,66;1046;46,67;26,67;26,67;15;65,44;0;0;0;0;1;0;1;1
60;8082;3;25721,0;1;0;15;1;7;0;0;0;0;0;0;1;42;5,26;15,79;31,58;15,79;31,58;19;25,0;25,0;50,0;4;4,0;0;0;1;0;0;0;5;2
61;1386;3;32474,0;1;1;0;1;7;0;0;0;0;0;0;0;47;90,91;0,0;9,09;0,0;0,0;11;33,33;0,0;66,67;3;3,0;0;0;0;0;1;0;2;2
62;9369;2;88194,0;0;1;38;1;5;1;0;0;1;0;0;1;35;55,66;1,13;25,0;16,26;1,94;1236;35,48;32,26;32,26;31;38,66;2;0;0;1;0;0;2;1
63;4477;3;69096,0;0;1;109;1;4;0;0;0;0;0;0;0;55;45,4;9,01;29,23;1,29;15,07;544;29,41;11,76;58,82;17;30,28;0;0;0;0;1;0;4;1
64;1357;3;74854,0;1;2;73;7;5;0;0;0;0;0;0;0;43;57,49;3,96;32,71;3,9;1,95;1489;16,67;41,67;41,67;12;114,62;0;0;0;0;1;0;1;1
65;1402;4;66991,0;0;0;12;3;3;0;0;0;0;0;0;0;58;39,97;2,9;37,07;15,23;4,83;1241;22,22;44,44;33,33;18;65,37;0;0;1;0;0;0;1;1
66;6312;3;65031,0;0;1;86;4;7;0;0;0;0;0;0;0;54;33,2;13,77;37,45;10,81;4,76;777;38,46;11,54;50,0;26;28,81;0;0;1;0;0;0;1;1
67;8132;5;60631,0;1;1;19;5;7;0;1;0;0;0;0;0;38;88,01;0,93;10,12;0,0;0,93;642;47,37;10,53;42,11;19;32,15;1;0;1;0;0;0;2;1
68;1050;3;28332,0;0;0;9;1;2;0;0;0;0;0;0;0;62;25,0;17,86;23,21;7,14;26,79;56;28,57;14,29;57,14;7;7,12;0;0;1;0;0;0;5;2
69;5846;3;40246,0;1;0;1;1;6;0;0;0;0;0;0;0;35;16,67;8,33;50,0;16,67;8,33;12;33,33;0,0;66,67;3;3,25;0;1;0;0;0;0;1;2
70;1859;4;75251,0;0;0;18;1;5;0;0;0;0;0;0;1;40;38,51;5,93;49,41;5,18;0,96;1872;38,89;33,33;27,78;18;98,58;0;0;1;0;0;0;1;1
71;7503;3;75825,0;0;0;51;0;4;1;0;0;0;0;0;1;36;47,82;4,87;36,1;6,35;4,87;2158;22,73;36,36;40,91;22;93,87;1;0;0;1;0;0;1;1
72;10401;2;26326,0;0;0;9;1;3;0;0;0;0;0;1;0;37;11,11;0,0;55,56;0,0;33,33;9;0,0;0,0;100,0;3;2,5;0;0;0;0;1;0;5;2
73;1618;3;56046,0;0;0;51;2;8;1;0;0;0;0;0;1;48;90,02;0,0;9,98;0,0;0,0;641;52,63;5,26;42,11;19;32,1;1;0;0;0;1;0;2;1
74;3332;3;29760,0;1;0;17;4;8;0;0;0;0;0;0;0;27;43,24;2,7;45,95;4,73;3,38;148;37,5;12,5;50,0;8;16,56;0;0;0;1;0;0;1;2
75;2261;3;26304,0;1;0;4;1;7;0;0;0;0;0;0;0;44;33,33;8,33;41,67;16,67;0,0;12;33,33;0,0;66,67;3;3,25;0;0;1;0;0;0;1;2
76;5346;2;23559,0;1;0;23;3;7;0;0;0;0;0;0;0;40;44,64;8,93;33,93;12,5;0,0;56;50,0;0,0;50,0;6;8,14;0;0;1;0;0;0;1;2
77;4119;4;38620,0;0;0;89;1;3;0;0;0;0;0;0;0;50;48,91;7,42;19,21;14,85;9,61;229;20,0;50,0;30,0;10;20,91;0;0;0;0;1;0;4;2
78;535;3;81361,0;0;0;76;1;1;0;0;0;0;0;0;0;27;23,22;3,28;60,4;3,85;9,26;702;11,54;38,46;50,0;26;26,04;0;1;0;0;0;0;1;1
79;5268;3;29440,0;1;1;3;2;7;0;0;0;0;0;0;0;53;32,08;15,09;26,42;18,87;7,55;53;20,0;0,0;80,0;5;9,0;0;0;1;0;0;0;3;2
80;273;4;36138,0;1;1;5;5;7;0;1;0;0;0;0;0;43;89,04;0,0;10,96;0,0;0,0;146;37,5;12,5;50,0;8;16,33;1;0;1;0;0;0;2;2
81;4452;3;50388,0;0;1;34;4;7;0;1;0;1;0;0;1;57;86,39;1,78;10,95;0,0;0,89;338;46,15;7,69;46,15;13;24,21;2;0;0;1;0;0;2;2
82;8504;3;79593,0;0;0;145;1;2;0;0;1;0;0;0;0;41;28,67;4,91;46,52;9,01;10,89;1221;27,78;33,33;38,89;18;64,32;1;0;1;0;0;0;4;1
83;771;3;54178,0;0;1;7;1;2;0;0;0;0;0;0;0;47;72,19;4,81;20,86;2,14;0,0;187;22,22;22,22;55,56;9;18,8;0;0;0;0;1;0;2;2
84;11178;4;42394,0;1;0;4;1;7;0;0;0;0;0;0;0;42;53,57;7,14;35,71;0,0;3,57;28;25,0;0,0;75,0;4;5,8;0;0;0;1;0;0;1;2
85;2230;5;23626,0;1;0;0;3;5;0;0;0;0;0;0;0;44;62,79;4,65;32,56;0,0;0,0;43;42,86;14,29;42,86;7;5,5;0;0;1;0;0;0;2;2
86;7516;3;30096,0;1;0;9;1;6;0;0;0;0;0;0;0;31;13,89;8,33;30,56;33,33;13,89;36;40,0;0,0;60,0;5;6,17;0;0;1;0;0;0;3;2
87;7247;3;47916,0;0;1;75;5;6;0;1;0;0;0;0;0;52;95,1;0,0;4,9;0,0;0,0;531;41,18;23,53;35,29;17;29,56;1;0;0;0;0;1;2;1
88;11100;3;51813,0;1;1;2;2;7;0;0;0;0;0;0;0;41;83,61;3,28;11,48;0,0;1,64;61;40,0;0,0;60,0;5;10,33;0;1;0;0;0;0;2;2
89;4646;2;78497,0;0;0;223;1;2;0;0;0;1;0;0;0;62;27,42;3,44;59,21;9,93;0,0;755;20,83;29,17;50,0;24;30,24;1;0;1;0;0;0;4;1
90;3037;5;50150,0;0;0;11;2;5;0;0;0;0;0;0;0;30;33,83;11,53;23,06;16,29;15,29;399;35,71;14,29;50,0;14;26,67;0;0;1;0;0;0;3;2
91;1473;2;47823,0;0;1;10;2;8;0;0;0;0;0;0;0;53;85,48;1,61;8,06;3,23;1,61;62;40,0;0,0;60,0;5;10,5;0;0;0;1;0;0;2;2
92;1016;5;34554,0;0;1;5;2;6;0;0;0;0;0;0;0;55;82,0;2,0;12,0;4,0;0,0;50;40,0;0,0;60,0;5;8,5;0;0;0;1;0;0;2;2
93;4518;3;85693,0;0;1;111;2;5;0;0;0;0;0;0;0;34;36,48;16,26;17,3;17,49;12,48;1058;36,0;20,0;44,0;25;40,73;0;0;0;0;1;0;3;1
94;9370;5;65846,0;0;0;81;1;4;0;0;0;0;0;0;0;68;54,09;7,8;26,56;7,7;3,85;1039;40,0;20,0;40,0;15;65,0;0;0;1;0;0;0;4;1
95;8908;3;87195,0;0;0;38;1;1;0;0;0;0;0;0;1;55;20,49;7,18;65,16;4,72;2,46;1059;15,79;57,89;26,32;19;53,0;0;0;1;0;0;0;1;1
96;8373;1;24594,0;1;0;9;1;5;0;0;0;0;0;0;0;34;5,0;15,0;30,0;50,0;0,0;20;25,0;0,0;75,0;4;4,2;0;0;0;0;1;0;3;2
97;7533;3;49096,0;1;1;7;4;7;0;0;0;0;0;0;0;49;80,0;0,56;17,78;1,11;0,56;180;44,44;11,11;44,44;9;18,1;0;0;1;0;0;0;2;2
98;2683;3;52413,0;0;2;65;4;6;0;0;0;0;0;0;0;44;34,91;12,54;32,07;8,88;11,6;845;27,27;18,18;54,55;22;36,78;0;0;1;0;0;0;1;1
99;3629;3;38557,0;1;0;27;2;7;0;0;0;0;0;0;0;34;64,41;2,54;26,27;3,39;3,39;118;42,86;14,29;42,86;7;14,88;0;0;0;1;0;0;2;2
100;10991;4;89058,0;0;0;43;1;2;0;0;0;0;0;0;0;52;56,26;24,04;13,14;3,84;2,73;807;38,46;30,77;30,77;13;57,71;0;0;1;0;0;0;2;1
101;5077;3;77298,0;0;1;79;1;3;0;0;0;0;0;0;0;34;47,75;12,92;32,81;2,58;3,93;890;26,09;26,09;47,83;23;37,12;0;0;0;0;1;0;1;1
102;7431;5;68126,0;0;0;86;1;9;0;1;0;0;0;0;1;21;76,82;0,98;17,94;1,33;2,94;1734;43,75;25,0;31,25;16;102,06;1;0;0;1;0;0;2;1
103;3267;4;57288,0;0;1;60;3;6;0;1;0;0;0;0;0;51;96,17;0,0;3,83;0,0;0,0;548;47,06;5,88;47,06;17;30,5;1;0;0;0;1;0;2;1
104;999;3;86037,0;0;0;22;1;3;0;1;1;0;0;0;1;22;69,21;6,21;17,66;4,1;2,82;708;25,0;29,17;45,83;24;28,36;2;0;0;1;0;0;2;1
105;9215;5;43974,0;1;0;72;5;7;0;0;0;0;0;0;0;32;78,91;0,0;21,09;0,0;0,0;479;37,5;25,0;37,5;16;28,24;0;0;1;0;0;0;2;2
106;2286;3;50785,0;1;1;27;2;6;0;0;0;0;0;0;0;51;73,56;1,15;24,14;0,0;1,15;87;33,33;16,67;50,0;6;12,57;0;0;0;1;0;0;2;2
107;1592;3;90765,0;0;0;33;0;1;0;0;1;1;0;0;0;44;32,35;5,85;48,02;8,93;4,85;1691;26,67;40,0;33,33;15;105,75;2;0;1;0;0;0;1;1
108;367;2;36550,0;1;0;120;5;9;0;0;0;0;0;0;0;35;10,28;19,69;20,57;26,91;22,54;457;60,0;6,67;33,33;15;28,62;0;0;1;0;0;0;5;2
109;5234;2;30753,0;1;1;30;2;5;0;0;0;0;0;0;0;46;23,53;9,8;49,02;0,0;17,65;51;20,0;20,0;60,0;5;8,67;0;0;0;0;1;0;1;2
110;9862;3;21918,0;1;0;3;2;6;0;0;0;0;0;0;0;44;3,33;20,0;23,33;36,67;16,67;30;40,0;0,0;60,0;5;5,17;0;0;0;0;1;0;3;2
111;9805;4;56129,0;0;1;48;4;4;0;0;0;0;0;0;0;60;52,29;7,84;21,73;6,37;11,76;612;33,33;11,11;55,56;18;32,26;0;0;0;0;1;0;1;1
112;6205;4;32557,0;1;0;10;3;5;0;0;0;0;0;0;1;47;48,57;4,29;41,43;0,0;5,71;70;33,33;16,67;50,0;6;10,14;0;0;0;1;0;0;1;2
113;8442;4;19510,0;2;0;7;2;7;0;0;0;0;0;0;0;28;39,13;0,0;30,43;13,04;17,39;23;25,0;0,0;75,0;4;4,8;0;0;1;0;0;0;1;2
114;7386;3;30992,0;1;0;2;1;7;0;0;0;0;0;0;0;37;41,46;0,0;34,15;17,07;7,32;41;25,0;0,0;75,0;4;8,4;0;1;0;0;0;0;1;2
115;7215;3;101970,0;0;0;168;0;2;0;1;1;1;0;0;1;30;74,66;2,79;10,55;4,55;7,45;967;22,22;29,63;48,15;27;34,57;3;0;0;1;0;0;4;1
116;1491;2;71488,0;0;0;172;2;1;0;0;0;0;0;0;0;48;41,86;8,53;32,04;10,34;7,24;387;21,43;28,57;50,0;14;25,87;0;0;0;0;1;0;4;2
117;11071;3;79607,0;0;0;216;1;1;0;0;0;0;0;0;1;29;26,36;7,79;55,71;10,13;0,0;1707;20,0;40,0;40,0;15;106,75;0;0;0;1;0;0;4;1
118;3381;4;54348,0;1;1;4;2;6;0;0;0;0;0;0;0;61;81,4;0,0;18,6;0,0;0,0;86;33,33;0,0;66,67;6;12,43;0;0;1;0;0;0;2;2
119;11051;5;77376,0;1;1;12;4;4;0;0;0;0;0;0;0;58;75,81;2,93;16,95;2,47;1,85;649;31,58;15,79;52,63;19;32,5;0;0;0;0;1;0;2;1
120;8026;3;62998,0;0;1;58;5;5;0;0;0;0;0;0;0;61;29,63;14,32;18,02;16,05;21,98;405;35,71;28,57;35,71;14;27,07;0;0;1;0;0;0;5;2
121;433;4;61331,0;1;1;41;5;8;0;0;0;0;0;0;0;55;90,36;0,85;7,95;0,0;0,85;591;61,11;5,56;33,33;18;31,16;0;0;0;1;0;0;2;1
122;9597;3;73448,0;0;0;130;1;4;0;0;0;0;0;0;0;45;39,66;17,82;31,76;3,87;6,89;595;38,89;11,11;50,0;18;31,37;0;0;1;0;0;0;4;1
123;5290;5;41551,0;1;1;23;5;8;0;0;0;0;0;0;0;49;85,94;0,0;12,89;1,17;0,0;256;45,45;9,09;45,45;11;21,42;0;0;1;0;0;0;2;2
124;1685;5;62981,0;0;0;0;1;3;0;1;0;0;0;0;0;46;53,71;0,94;39,81;2,56;2,97;1482;18,18;22,73;59,09;22;64,48;1;0;0;0;1;0;1;1
125;5342;1;9548,0;1;0;9;2;8;0;0;0;0;0;0;0;36;0,0;5,0;15,0;50,0;30,0;20;25,0;0,0;75,0;4;4,2;0;1;0;0;0;0;3;2
126;9579;5;33762,0;2;1;16;3;8;0;0;0;0;0;0;0;54;58,89;1,11;37,78;2,22;0,0;90;33,33;33,33;33,33;6;13,0;0;0;1;0;0;0;1;2
127;7660;5;35860,0;1;1;20;2;5;1;0;0;0;0;0;1;41;51,72;0,0;27,59;13,79;6,9;29;25,0;25,0;50,0;4;6,0;1;0;0;1;0;0;1;2
128;1461;5;36921,0;1;1;4;2;7;0;0;0;0;0;0;0;48;50,0;2,94;35,29;8,82;2,94;34;40,0;0,0;60,0;5;5,83;0;1;0;0;0;0;1;2
129;821;4;92859,0;0;0;20;1;2;0;0;0;0;0;0;0;20;46,77;2,97;44,77;2,53;2,97;2057;23,81;19,05;57,14;21;93,55;0;0;0;1;0;0;1;1
130;11084;4;65104,0;0;1;50;2;7;0;0;0;0;0;0;1;37;73,58;0,0;23,13;1,3;1,99;1003;20,0;33,33;46,67;15;62,75;0;0;0;0;1;0;2;1
131;8690;3;86111,0;0;0;126;1;2;0;0;0;0;0;0;0;51;31,69;2,22;60,05;2,86;3,18;1259;22,73;31,82;45,45;22;54,78;0;0;1;0;0;0;1;1
132;2937;5;68352,0;0;1;33;3;6;0;0;0;0;0;0;0;39;73,27;1,91;15,75;5,13;3,94;838;36,36;22,73;40,91;22;36,48;0;0;0;1;0;0;2;1
133;9701;3;41883,0;1;0;116;3;7;0;0;0;0;0;0;0;25;16,33;17,35;20,92;37,24;8,16;196;44,44;22,22;33,33;9;19,7;0;0;0;0;1;0;3;2
134;9949;3;59809,0;0;2;49;3;8;0;0;0;0;0;0;0;36;72,22;1,93;17,03;3,86;4,95;828;25,0;25,0;50,0;12;63,77;0;0;1;0;0;0;2;1
135;10837;3;23957,0;1;0;16;1;6;0;0;0;0;0;0;1;37;3,85;1,92;34,62;38,46;21,15;52;40,0;0,0;60,0;5;8,83;0;0;1;0;0;0;3;2
136;3120;3;38547,0;1;0;4;1;8;0;0;0;0;0;1;0;32;33,33;5,56;55,56;0,0;5,56;18;33,33;0,0;66,67;3;4,75;0;0;0;0;1;0;1;2
137;5885;2;35688,0;2;1;32;7;8;0;0;0;0;0;0;0;39;40,78;1,68;50,28;6,7;0,56;179;44,44;11,11;44,44;9;18,0;0;0;1;0;0;0;1;2
138;4050;4;49605,0;0;0;8;1;3;0;0;0;0;0;0;0;48;35,29;13,45;24,37;10,08;16,81;119;28,57;14,29;57,14;7;15,0;0;0;1;0;0;0;5;2
139;3830;4;59354,0;0;2;13;1;3;0;0;0;0;0;0;0;61;66,14;4,71;17,49;8,74;2,91;446;26,67;26,67;46,67;15;27,94;0;0;1;0;0;0;2;2
140;7987;3;65747,0;0;1;13;4;6;0;1;0;0;0;0;0;45;77,4;3,8;10,74;5,15;2,91;447;53,33;6,67;40,0;15;28,0;1;0;1;0;0;0;2;2
